ascore,category,description,ein,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,fscore,leader,leader_comp,leader_comp_p,motto,name,tot_rev,score,state,subcategory,size,program_exp,fund_exp,admin_exp
100.0,Environment,"Working with Oregonians to enhance our quality of life by building livable urban and rural communities, protecting family farms and forests, and conserving natural areas.",93-0642086,917313.0,0.10099999999999999,0.18,0.184,0.7140000000000001,88.61,Lynn Peterson,0.0,0.0,Great communities. Working lands. Iconic Places.,1000 Friends of Oregon,1022513.0,91.94,OR,Environmental Protection and Conservation,small,654961.4820000001,168785.592,92648.613
89.0,"Arts, Culture, Humanities","Serving the metropolitan Baltimore area and the state of Maryland, the mission of WYPR Your Public Radio is to broadcast programs of intellectual integrity and cultural merit which enrich the minds and spirits of our listeners and ultimately strengthen the communities we serve. WYPR adheres to the highest standards of journalistic and artistic excellence. It delivers educational, informational, cultural, and entertainment programming as a public services to the broadest possible audience.",31-1770828,5053059.0,0.231,0.05,0.032,0.735,82.85,Anthony S. Brandon,163341.0,0.0323,88.1 FM -. Your NPR News Station,WYPR,5685761.0,85.59,MD,Public Broadcasting and Media,mid,3713998.3649999998,161697.888,1167256.629
70.0,Religion,"VSS Catholic Communications is dedicated to answering the call of the late Holy Father, Blessed John Paul II, for a New Evangelization. Our charism in the mission of evangelization is to broadly employ broadcast media to transmit the Gospel of Jesus Christ with the fullness of the living Tradition as preserved, revered and proclaimed by the Catholic Church for more than 2,000 years. Everyone involved recognizes this apostolate as an extraordinary gift, which we receive anew each day.",91-1857425,1891500.0,0.114,0.17,0.19699999999999998,0.687,86.74,Jim Carroll,114791.0,0.060599999999999994,Spirit Catholic Radio Network,VSS Catholic Communications,2140836.0,76.8,NE,Religious Media and Broadcasting,small,1299460.5,372625.49999999994,215631.0
93.0,"Arts, Culture, Humanities","The mission of the Utah Symphony & Opera is to give great performances which engage, educate, and enrich lives.",51-0145980,22506582.0,0.092,0.08,0.054000000000000006,0.852,91.03,Paul Meecham,124805.0,0.0055000000000000005,"Engaging, educating, and enriching lives",Utah Symphony & Opera,22203175.0,91.95,UT,Performing Arts,big,19175607.864,1215355.428,2070605.544
100.0,Human Services,"Funded solely by the footwear industry, Two Ten Footwear Foundation is committed to strengthening the footwear community with financial relief, scholarships, counseling support and information and referral services to shoepeople in need. For more than 70 years, Two Ten still provides a safety net for individuals and families throughout our industry who are facing difficult times.",22-2579809,5594243.0,0.126,0.12,0.122,0.75,86.23,Neal Newman,219002.0,0.0391,Shoepeople Helping Shoepeople,Two Ten Footwear Foundation,6935506.0,90.26,MA,Social Services,mid,4195682.25,682497.646,704874.618
89.0,"Arts, Culture, Humanities","Syracuse Stage is a global village square where renowned artists and audiences of all ages gather to celebrate our cultural richness, witness the many truths of our common humanity, and explore the transformative power of live theatre. As the professional theatre in residence at Syracuse University, we create innovative, adventurous, and entertaining productions of new plays, classics and musicals, and offer interactive education and outreach programs to Central New York.",15-0623468,5682361.0,0.23199999999999998,0.06,0.039,0.728,81.51,Diana Coles,65663.0,0.0115,Syracuse Stage illuminates the many truths of our common humanity through the transformative power of live theatre.,Syracuse Stage,5672247.0,84.78,NY,Performing Arts,mid,4136758.8079999997,221612.079,1318307.7519999999
100.0,Religion,Partnering with God in leading people to share His saving grace.,95-6006642,2691787.0,0.237,0.19,0.185,0.5770000000000001,64.7,Randy Bates,84760.0,0.031400000000000004,Reaching thousands for Christ worldwide through volunteer-based international evangelism.,Quiet Hour Ministries,3189235.0,75.03,CA,Religious Media and Broadcasting,small,1553161.0990000002,497980.595,637953.519
81.0,Education,"Put On The B.R.A.K.E.S. (Be Responsible And Keep Everyone Safe) is a non-profit whose mission is to prevent injuries and save lives by training and educating teenage drivers and their parents about the importance of safe and responsible driving. When NHRA drag racing star Doug Herbert lost his two young sons, Jon and James, in a tragic car crash in January of 2008, his grief led to his resolve to create a driving program which would help to prevent other families from experiencing similar heartbreak by teaching young drivers more conscientious and confident skills behind the wheel.",26-2176362,3174615.0,0.071,0.08,0.067,0.861,92.5,Doug Herbert,150000.0,0.0472,Be Responsible and Keep Everyone Safe,"Put On The BRAKES,  B.R.A.K.E.S.",3671779.0,85.55,NC,Youth Education Programs and Services,small,2733343.515,212699.20500000002,225397.66499999998
100.0,Human Services,"Ozarks Food Harvest has a mission of Transforming Hunger into Hope. This simple statement serves as a meaningful summary of Ozarks Food Harvest's goal to supply as much food as possible to individuals in need. The Food Bank rescues, warehouses, processes and distributes food and supplies to 270 nonprofit hunger-relief organizations in 28 counties, reaching 30,000 children, families and seniors weekly.",43-1426384,30424252.0,0.021,0.02,0.02,0.9570000000000001,96.42,Bart Brown,133303.0,0.0043,Transforming Hunger into Hope,Ozarks Food Harvest,32837895.0,97.46,MO,"Food Banks, Food Pantries, and Food Distribution",big,29116009.164,608485.04,638909.292
100.0,Education,"NYC Outward Bound Schools transforms schools and changes lives by bringing out the best in New York City's students, teachers and school leaders. We operate a citywide network of public schools in partnership with the City's Department of Education, which primarily target students from underserved neighborhoods. Our educational approach delivers rigor through active, real-world learning, develops character skills, inspires students to serve their communities, and instills in them the grit to overcome challenges. Our graduates succeed in more than just college and careers - they're active citizens who make their communities better for all.",13-3471084,6541364.0,0.054000000000000006,0.17,0.095,0.85,96.13,Richard Stopol,196779.0,0.03,"Transforming Schools, Changing Lives",NYC Outward Bound Schools,6403194.0,97.26,NY,Youth Education Programs and Services,mid,5560159.399999999,621429.58,353233.656
86.0,"Arts, Culture, Humanities","Mystic Seaport was originally established as the Marine Historical Association in 1929 to create a dynamic, educational institution to preserve America's maritime culture and turn the achievements of a past era into an inspirational force for the future. Mystic Seaport has amassed the world's largest collections of maritime photography (over one million images) and boats (nearly 500), and has collected two million other maritime artifacts. Widely recognized as the nation's leading maritime museum, today Mystic Seaport is making the history of America's relationship with the sea even more accessible to all-new audiences. More than 300,000 people visit Mystic Seaport annually.",06-0653120,19600119.0,0.214,0.24,0.096,0.688,74.55,Stephen C. White,282229.0,0.0143,The museum of America and the sea,Mystic Seaport,17100612.0,79.46,CT,Museums,big,13484881.872,1881611.424,4194425.466
89.0,"Arts, Culture, Humanities","The mission of the Lyric Theatre is to produce excellent professional musical theatre, nurture artistic talent, promote collaboration among the arts, and enrich the quality of life for Oklahomans. Founded in 1963, Lyric Theatre is Oklahoma's only professional year-round musical theatre company. Beginning in the summer of 2002, Lyric Theatre moved its summer season from the Kirkpatrick Fine Arts Auditorium to the Thelma Gaylord Performing Arts Theatre in the newly renovated Civic Center Music Hall in downtown Oklahoma City. For 46 years, Lyric has produced classic and contemporary musicals featuring both nationally known Broadway stars and local favorites. Lyric productions include the best of classic, modern, artistic, and family theatre for an audience of over 50,000 people.",73-1001687,4634911.0,0.095,0.15,0.047,0.857,91.91,James B. Reynolds Jr.,87997.0,0.0189,Oklahoma's only professional musical theatre company,Lyric Theatre,4256741.0,90.34,OK,Performing Arts,mid,3972118.727,217840.817,440316.545
97.0,"Arts, Culture, Humanities","The mission of KVIE is to educate, enrich, enlighten and inspire diverse audiences and individuals through high quality television programming and related services that enhance the quality of life for people throughout Northern California. KVIE's vision is to open minds and change lives, giving people information they need to participate fully in the community we share and the world around us. KVIE provides educational programs and services for the young and lifelong learners. Our local productions and PBS programming engage the mind and spirit to promote personal and community growth. KVIE's first continuous broadcast day was February 23, 1959. KVIE broadcasts 5 different streams of programming, and 3 digital over the air signals.",94-1421463,10941160.0,0.139,0.26,0.218,0.642,80.93,David Lowe,234392.0,0.021400000000000002,Opening minds and changing lives,KVIE,13173198.0,86.34,CA,Public Broadcasting and Media,mid,7024224.72,2385172.88,1520821.2400000002
100.0,Human Services,"JVS SoCal serves people in the greater Los Angeles area who are looking for work, seeking career advancement or interested in better managing their work environment. A non-sectarian organization founded in 1930, the agency offers individuals, businesses, governmental and social service agencies high quality programs related to job seeking, career planning, skills assessment, training and retraining. JVS SoCal's commitment to helping people help themselves is rooted in the Jewish tradition of caring in a way that supports human dignity and respects each individual's capabilities and potential. Over 24,000 individuals annually benefit from the programs of JVS SoCal and its community partners.",95-1691012,17858410.0,0.102,0.04,0.04,0.856,82.93,Alan Levey,246295.0,0.0137,Jobs. Vision. Success.,JVS SoCal,19444303.0,87.92,CA,Social Services,big,15286798.959999999,714336.4,1821557.8199999998
100.0,Environment,"The Izaak Walton League of America was formed in 1922 to save outdoor America for future generations. We are one of the earliest conservation organizations to set an aggressive course to defend wild America by changing public policy. Almost every major, successful conservation program that America has in place today can be traced directly to a League activity or initiative. Our mission is to conserve, maintain, protect, and restore the soil, forest, water, and other natural resources of the United States and other lands; to promote means and opportunities for the education of the public with respect to such resources and their enjoyment and wholesome utilization.",36-1930035,2407893.0,0.23199999999999998,0.09,0.09300000000000001,0.6729999999999999,79.94,Scott Kovarovics,160000.0,0.0664,"Defenders of soil, air, woods, waters, and wildlife",Izaak Walton League of America,2764065.0,85.81,MD,Environmental Protection and Conservation,small,1620511.9889999998,223934.04900000003,558631.176
89.0,Animals,"ZooTampa at Lowry Park inspires guests to take action in conservation by immersing them in engaging educational activities, up-close animal habitats, and exciting animal encounters. ZooTampa welcomes one million guests each year, and operates a Zoo School to provide early childhood education programs and special learning opportunities such as unique, conservation-themed summer camps. Recognized by the State of Florida as a center for Florida wildlife conservation and biodiversity, ZooTampa is proud to be champions for the state's key species including Florida panthers, manatees, Indigo snakes, black bears and more. The Zoo is also home to many other animals from areas around the world with similar climates. Just by visiting the Zoo, guests are joining the Zoo's mission to save and protect wildlife.",59-2328289,23675065.0,0.09699999999999999,0.08,0.024,0.878,96.17,Joseph Couceiro,240598.0,0.0101,Offering enjoyment for everyone,ZooTampa at Lowry Park,24235543.0,91.76,FL,Zoos and Aquariums,big,20786707.07,568201.56,2296481.3049999997
93.0,Animals,"The mission of the Zoological Society of Milwaukee (ZSM), established in 1910, is to take part in conserving wildlife and endangered species, to educate people about the importance of wildlife and the environment, and to support the Milwaukee County Zoo. Helping the Milwaukee County Zoo maintain its reputation as Wisconsin's premier educational and cultural treasure is a big part of the Zoological Society's mission. Together, the Zoo and ZSM serve more than 1.3 million Zoo visitors a year. The ZSM and Zoo work together to attract both a strong family base as well as a diverse, non-traditional audience through free days, targeted school programs, evening concerts, special events and other efforts.",39-6077242,13468967.0,0.04,0.01,0.013999999999999999,0.9440000000000001,94.8,Robert M. Davis,194407.0,0.0144,"Conserving, educating, and supporting",Zoological Society of Milwaukee,22346275.0,93.83,WI,Zoos and Aquariums,mid,12714704.848000001,188565.53799999997,538758.68
85.0,Animals,"The Point Defiance Zoological Society connects Point Defiance Zoo & Aquarium (PDZA) and our local and global communities, and mobilizes the community's time, talent and financial resources to enhance the zoo experience for visitors and animals. The Zoo Society supports PDZA and its efforts to promote responsible stewardship of the world's resources through education, conservation, research and recreational opportunities. The 29-acre zoological park is the second most popular tourist destination in Pierce County, attracting about 600,000 visitors a year. The Zoo sits within 700-acre Point Defiance Park, offering spectacular views of Mount Rainier, the Olympic Mountains and Puget Sound. The Zoo currently houses 792 animals from 98 different species.",91-6066667,2428208.0,0.084,0.04,0.079,0.835,97.07,Lawrence Norvell,98380.0,0.0405,Supporting the Point Defiance Zoo & Aquarium,The Zoo Society,2576879.0,89.19,WA,Zoos and Aquariums,small,2027553.68,191828.432,203969.472
97.0,Animals,"Zoo New England's mission is to inspire people to protect and sustain the natural world for future generations by creating fun and engaging experiences that integrate wildlife and conservation programs, research, and education. Zoo New England operates Franklin Park Zoo in Boston and Stone Zoo in Stoneham, Massachusetts. Franklin Park Zoo is a 72-acre site nestled in Boston's historic Franklin Park, long considered the crown jewel of Frederick Law Olmsted's Emerald Necklace Park System. Stone Zoo, formerly known as the Middlesex Fells Zoo, is located on a 26-acre site near the sparkling Spot Pond reservoir in Stoneham, MA.",04-3129124,15311266.0,0.122,0.04,0.043,0.8340000000000001,91.73,John Linehan,135893.0,0.0088,Connecting you to the natural world,Zoo New England,18558139.0,93.77,MA,Zoos and Aquariums,big,12769595.844,658384.438,1867974.452
100.0,Animals,"Zoo Miami Foundation (ZMF) is the non-profit support organization for Zoo Miami. Zoo Miami Foundation was founded in 1956. Its Board of Directors includes community leaders in Miami-Dade and Broward counties who are committed to the education, conservation and recreation goals of Zoo Miami. While Miami-Dade County operates and maintains the Zoo, Zoo Miami Foundation, backed by its strong membership, supports Zoo Miami's programs and special capital enhancements. Zoo Miami Foundation also operates key educational programs and contributes to global and local conservation initiatives. Through the generosity of our vital philanthropic partners, ZMF engages community members of all ages in programs that include our Conservation Teen Scientists, adult volunteers, Zoo to You outreach, and Nature Play that engages families in outdoor adventures and skill building. In 2018, ZMF volunteers contributed over 49,000 hours to Zoo Miami.",59-6192814,4697404.0,0.065,0.05,0.05,0.883,91.15,William Moore,164382.0,0.0349,Our mission is to foster community pride and involvement with Zoo Miami and secure financial support for the zoo.,Zoo Miami Foundation,6888922.0,93.74,FL,Zoos and Aquariums,mid,4147807.732,234870.2,305331.26
89.0,Animals,"Zoo Atlanta's mission is to save wildlife and their habitats through research, conservation, education and engaging experiences. The Zoo's efforts connect people to animals and inspire conservation action.",58-1655184,23463983.0,0.069,0.04,0.037000000000000005,0.893,96.82,Raymond B King,609674.0,0.0259,Inspiring people to value wildlife on Earth and to help safeguard existing species through conservation,Zoo Atlanta,40794891.0,91.9,GA,Zoos and Aquariums,big,20953336.819000002,868167.3710000002,1619014.827
96.0,Religion,"Zola Levitt Ministries is principally a teaching and evangelistic association. Our national television program, Zola Levitt Presents, teaches the bible with an emphasis on Israel, prophecy, and the Jewish roots of Christianity. Our free monthly newsletter (Levitt Letter) gives a concise biblical perspective with updates on recent events in Israel. Our Institute of Jewish-Christian Studies correspondence course teaches the Jewish roots of the Christian faith to more than 3,000 currently enrolled students. Our online store carries a large number of teaching materials. We also offer several tours each year to Israel, Greece and locations in the United States. Zola Levitt Ministries has sent hundreds of books to the Holy Land and planted thousands of trees throughout Israel.",75-1680391,3707618.0,0.16399999999999998,0.01,0.006,0.828,84.87,Mark Levitt,,,Christianity through Jewish eyes,Zola Levitt Ministries,3665100.0,88.93,TX,Religious Media and Broadcasting,mid,3069907.704,22245.708,608049.352
85.0,International,"Founded in 2002, ZOE International is a Christian anti-human trafficking organization with the mission to bring the Good News of Jesus Christ and to make disciples of the unreached people of the world and to demonstrate God's compassion through rescuing and caring for orphans and children from human trafficking. ZOE International's vision is to fulfill God's dream that every person on earth will know Him and possess eternal Life through Jesus Christ; and, that in lands where Christ is unknown, His love will be experienced, His Kingdom will reign, His Church will be built, His disciples will multiply, and He will be glorified for who He is.",14-1862549,2445835.0,0.152,0.03,0.055999999999999994,0.7909999999999999,93.56,Michael Hart,49490.0,0.0202,Reaching every person. Rescuing every child.,ZOE International,4940225.0,88.45,CA,"International Peace, Security, and Affairs",small,1934655.4849999999,136966.75999999998,371766.92
85.0,International,"Founded in 1897, the Zionist Organization of America (“ZOA”) is the oldest pro-Israel organization in the United States. With offices around the country and in Israel, the ZOA is dedicated to educating the public, elected officials, media, and college/high school students about the truth of the ongoing and relentless Arab war against Israel. ZOA is also committed to promoting strong U.S.-Israel relations. ZOA works to protect Jewish college and high school students from intimidation, harassment and discrimination, and in fighting anti-Semitism in general.",13-5628475,7117973.0,0.16399999999999998,0.08,0.063,0.772,95.27,Morton Klein,462462.0,0.0649,Fighting for the Jewish people and the Land of Israel,Zionist Organization of America,5640512.0,88.87,NY,"International Peace, Security, and Affairs",mid,5495075.156,448432.299,1167347.572
93.0,"Arts, Culture, Humanities","The Zimmer Children's Museum's mission is to make a better society through interactive learning, creative self-expression and art experiences for children and families. We are dedicated to teaching people about the BIG IDEAS of global citizenship, community responsibility, and cultural sensitivity. The Zimmer Children's Museum is a non-profit cultural institution located on Museum Row in Los Angeles, and features hands-on exhibits for children 0-8 to explore BIG IDEAS in creative and inspiring settings. The Zimmer is also the only museum dedicated specifically to kids and families in Los Angeles. Through the power of play, children will learn about human values such as respect for others, helping those in need, generosity, and creativity.",20-1470992,2472455.0,0.153,0.14,0.111,0.7340000000000001,70.25,Esther Netter,206433.0,0.0834,Playing our way to a better world,Zimmer Children's Museum,2770355.0,78.38,CA,Museums,small,1814781.9700000002,274442.505,378285.615
92.0,Human Services,"ZERO TO THREE is a national, multidisciplinary organization that supports the healthy development and well-being of infants, toddlers and their families. We carry out that mission through a range of activities that inform, educate and support the adults who influence very young children's lives. ZERO TO THREE informs, trains and supports professionals, policymakers and parents in their efforts to improve the lives of infants and toddlers. Additionally, we offer comprehensive resources about early childhood development and child and family well-being. We build, prepare and inspire professionals; advance policies and build systems; and raise awareness and inform parents.",52-1105189,45184227.0,0.018000000000000002,0.01,0.013000000000000001,0.968,97.5,Matthew E. Melmed,682166.0,0.015,"Supporting the healthy development and well-being of infants, toddlers and their families",ZERO TO THREE,63571943.0,94.07,DC,Children's and Family Services,big,43738331.736,587394.951,813316.0860000001
100.0,International,"Founded in 2001, the Zakat Foundation of America aims to foster charitable giving and help generous and caring people reach out to those in need with direct aid. We strive to bridge the gap between our financially privileged donors and our beneficiaries in financial need, as we believe that the first group has responsibilities towards the second. Zakat Foundation is dedicated to alleviating the immediate needs of the poorest communities by providing food, shelter, health care and by delivering relief in emergencies. Zakat Foundation also provides education and training in order to equip people with the skills to help themselves.",36-4476244,11478047.0,0.08199999999999999,0.04,0.047,0.8690000000000001,97.5,Halil Demir,133846.0,0.0116,The leader in empowering lives through Zakat,The Zakat Foundation of America,12791127.0,98.23,IL,Development and Relief Services,mid,9974422.843,539468.209,941199.8539999999
89.0,Human Services,"Zacharias Sexual Abuse Center's mission it to provide a place where survivors of sexual assault and abuse can heal, and to mobilize the community toward action to end sexual violence. Built on the courage of survivors, staff, volunteers and donors, Zacharias Sexual Abuse Center has been serving the community as a non-profit center against sexual assault and abuse since 1983.",36-3314976,1912670.0,0.086,0.11,0.11,0.8029999999999999,86.37,Jennifer Yonan,40331.0,0.021,From here to healing,Zacharias Sexual Abuse Center,2061824.0,87.61,IL,Social Services,small,1535874.0099999998,210393.7,164489.62
85.0,"Arts, Culture, Humanities","Z Space is a hub for artists and audiences to revel in the creation, development, and production of outstanding new work. We commission, develop, present and produce a full season of new works from a variety of disciplines including theater, dance, music, performance art, and new media. We foster opportunities around the nation for these works and we engage diverse audiences through direct interactions with the process, the projects, and the artists.",94-3177230,1612022.0,0.109,0.15,0.102,0.787,78.2,Lisa Steindler,100962.0,0.0626,A hub for artists and audiences,Z Space Studio,2439924.0,81.28,CA,Performing Arts,small,1268661.314,164426.24399999998,175710.398
100.0,Health,"It's The Journey, Inc.'s mission is to strengthen Georgia's breast cancer community by raising money and awareness for local organizations that focus on breast cancer education, early detection, awareness and support services, as well as breast cancer research in Georgia. It's The Journey, Inc. - producer of the Georgia 2-Day Walk for Breast Cancer- is a local organization founded 15 years ago by a breast cancer survivor, Randi Passoff. The purpose of the 2-Day Walk is to raise funds for breast cancer programs throughout Georgia.",47-0897591,1675912.0,0.052000000000000005,0.04,0.044000000000000004,0.903,89.08,Kimberly Goff,100045.0,0.0596,Raising funds for breast cancer programs throughout Georgia,"It's The Journey, Inc.",1667893.0,92.27,GA,Medical Research,small,1513348.536,73740.12800000001,87147.42400000001
96.0,Education,"Founded in 1987, in cooperation with the Issaquah School District, the Issaquah Schools Foundation drives resources to help all students achieve the promise of their academic potential. We strive to be the unifying organization that enables the Issaquah School District to provide access to exceptional opportunities district-wide that ignite learning, improve educational outcomes and prepare all students to be confident, competent and engaged citizens.",94-3050254,1780418.0,0.14300000000000002,0.14,0.151,0.7040000000000001,80.82,Elizabeth Swanson,0.0,0.0,Helping students succeed,Issaquah Schools Foundation,1884567.0,86.14,WA,Scholarship and Financial Support,small,1253414.272,268843.118,254599.77400000003
100.0,Human Services,"The ITCF raises funds in the American philanthropic community to support the operations, facilities and programs of the 14 Israel Tennis Centers (ITC) throughout Israel. Through the discipline of tennis we strive to improve the lives of children in one of the most conflicted regions of the world. By teaching the life skills of self-reliance, perseverance and focus, the ITC fosters sustainable values of self-esteem, character and tolerance, creating a positive impact on the children, their families and the world for generations to come. For more than 35 years, the ITC has been helping children and teens living in poverty, new immigrants, coexistence programs, youth at-risk and those with developmental and intellectual disabilities. The ITC was founded in 1976 by six business leaders to achieve the goal of helping children and teens in Israel facing extreme obstacles. To date we have served over 400,000 children and teens and are currently serving 20,000 annually at the centers.",13-2961273,5681128.0,0.064,0.2,0.195,0.74,81.64,Jacqueline S. Goldstein,283811.0,0.0499,Serving a Better Future for Children,Israel Tennis Centers Foundation ,6134061.0,87.01,NY,Multipurpose Human Service Organizations,mid,4204034.72,1107819.96,363592.192
96.0,Education,"The mission of the Israel Scholarship Education Foundation (formerly the International Sephardic Education Foundation) is to empower extraordinary individuals of under-served backgrounds and top academic merit to reach their highest leadership potential, igniting positive change in Israeli society.",13-2909403,1579306.0,0.153,0.16,0.171,0.675,67.02,This organization did not report a CEO,,,"Building Israel, One Mind at a Time",Israel Scholarship Education Foundation,1584108.0,76.5,NY,Scholarship and Financial Support,small,1066031.55,270061.326,241633.818
89.0,International,"The Israel Project (TIP) is a one-stop source for detailed and accurate information about Israel and the Middle East. They are a independent, nonpartisan organization headquartered in Washington DC with a second major center in Jerusalem and representatives in Beijing and New Delhi. TIP has been serving media, policymakers and the public since 2002. They provide factual, current and background information, images, maps, audio, video, graphics and direct access to the press, policy-makers and the public. They organize press briefings and speaker tours, conference calls and educational trips.",37-1472882,7296008.0,0.055,0.17,0.152,0.792,72.91,Joshua Block,389340.0,0.0533,Facts for a better future,The Israel Project,4943735.0,79.32,DC,"International Peace, Security, and Affairs",mid,5778438.336,1108993.216,401280.44
100.0,Animals,"The Israel Guide Dog Center for the Blind began operations on January 1, 1991 with just one objective -- to help blind people in Israel to achieve independence and mobility through the use of guide dogs. The mission of the Israel Guide Dog Center for the Blind is to improve the quality of life of blind people by providing them with safe mobility, independence and self-confidence through the faithful assistance of guide dogs. Israel has over 24,000 registered blind people, although unofficial estimates place this figure much higher. Of these, about 250 are guide dog assisted, but this number is growing steadily as the number of graduates from the Center increases annually.",23-2519029,3959395.0,0.046,0.03,0.031,0.922,100.0,Michael J. Leventhal,85000.0,0.021400000000000002,Improving the quality of life for blind people,Israel Guide Dog Center for the Blind,4762645.0,100.0,PA,"Animal Rights, Welfare, and Services",mid,3650562.19,122741.245,182132.16999999998
96.0,Health,"The Israel Cancer Research Fund (ICRF) was founded in 1975 by a group of American and Canadian researchers, oncologists, and lay people determined to harness Israel's educational and scientific resources in the fight against cancer. Its initial purpose was to stem the brain drain of Israeli researchers by providing funds for postdoctoral fellowships for young Ph.D.'s. ICRF is the only U.S.-based charity solely devoted to supporting cancer research in Israel. Since its inception, ICRF has provided more than $68 million to support innovative studies by Israeli scientists. Our awardees are selected through a rigorous peer-review process that is conducted by a world-class scientific panel. We support individuals at all of the major research institutions in Israel.",51-0181215,4379201.0,0.11900000000000001,0.22,0.243,0.636,72.32,Eric Heffler,195000.0,0.044500000000000005,Supporting cancer research in Israel,Israel Cancer Research Fund,3295087.0,80.22,NY,Medical Research,mid,2785171.836,1064145.8429999999,521124.91900000005
96.0,Health,"Established in 1994, Israel Cancer Association USA (ICA USA) raises funds for the Israel Cancer Association. It has touched the lives of hundreds of thousands of cancer patients and their families in Israel by providing major funding to distinguished Israeli cancer researchers such as ICA. ICA is the leading and largest health-related charitable organization in Israel, and is in the forefront of the fight against cancer. It supports a vast array of important cancer research projects and services at 38 hospitals and universities throughout Israel without government funding.",13-6218184,826326.0,0.049,0.04,0.043,0.9059999999999999,97.5,Julie Gordon,50000.0,0.0605,Supporting brilliant breakthroughs,Israel Cancer Association USA,1156483.0,96.66,FL,Medical Research,small,748651.3559999999,35532.018,40489.974
100.0,Education,"We need everyone engaged in creating a future where all life (people and the natural world) can thrive. Unfortunately, not everyone is aware of or empowered to address the social, ecological, political, and economic forces that affect quality of life. That's why we're advancing innovative educational approaches that build understanding of our environment and empower every student to take action for greater environmental health and wellbeing for all. Our direct experiential environmental learning programs on Bainbridge Island, in Seattle, and in Woodinville, WA reach more than 10,000 3rd-8th graders annually. We reach thousands more kids and communities members nationwide through the work of our alumni from our graduate programs in education, as well as through our curriculum development, teacher training programs, and policy work.",31-1654076,9854727.0,0.11900000000000001,0.21,0.095,0.785,86.65,Ben Klasky,180600.0,0.0183,Providing exceptional learning experiences and inspiring lifelong environmental and community stewardship.,IslandWood,9825604.0,90.56,WA,Youth Education Programs and Services,mid,7735960.695,936199.0650000001,1172712.513
100.0,Environment,"Since 1984, Island Press has been publishing the best new ideas on sustainability and the environment and working to spread those ideas to help people make a positive difference in the world. We publish an average of 30 new books annually on critically important topics such as ocean and marine conservation, land conservation, green buildings, ecosystems, sustainable agriculture, climate change, and ecological restoration. Island Press authors and experts inform and inspire change by reaching out to millions of people through the press, online, in the classroom, and in person. Today, with more than 1,000 titles in print, an active slate of author programs and events, and a growing online presence, we have emerged as one of the nation's leading providers of information on environmental issues and a leading communicator of environmental ideas.",94-2578166,4526796.0,0.11800000000000001,0.18,0.081,0.799,84.83,David Miller,150602.0,0.0332,Solutions that inspire change,Island Press,5815142.0,89.27,DC,Environmental Protection and Conservation,mid,3616910.004,366670.476,534161.9280000001
100.0,Community Development,"The Island Institute works to sustain Maine's island and remote coastal communities, and exchanges ideas and experiences to further the sustainability of communities here and elsewhere.",22-2786731,5392897.0,0.247,0.13,0.159,0.593,70.15,Robert Snyder,156239.0,0.028900000000000002,Strengthening Communities,Island Institute,11844385.0,78.89,ME,Housing and Neighborhood Development,mid,3197987.9209999996,857470.623,1332045.559
100.0,Human Services,"Island Harvest Food Bank is a leading hunger-relief organization that provides food and other resources to people in need. Always treating those it helps with dignity and respect, our goal is to end hunger and reduce poverty on Long Island through efficient food collection and distribution; enhanced hunger-awareness and nutrition-education programs; job training; and direct services targeted at children, senior citizens, veterans and others at risk. More than 94% of resources expended directly support our programs and services for 316,000 Long Islanders. Island Harvest is a lead agency in the region's emergency-response preparedness for food and product distribution, and is a member of Feeding America, the nation's leading domestic hunger-relief organization.  More information can be found at www.islandharvest.org.",11-3136350,20780134.0,0.026000000000000002,0.03,0.032,0.94,87.41,Randi Shubin Dresner,179302.0,0.0086,Fighting hunger. Touching lives.,Island Harvest,20941634.0,91.09,NY,"Food Banks, Food Pantries, and Food Distribution",big,19533325.959999997,664964.2880000001,540283.484
100.0,International,"Islamic Relief USA strives to alleviate suffering, hunger, illiteracy, and diseases worldwide regardless of color, race, religion, or creed, and to provide aid in a compassionate and dignified manner. Incorporated in California in 1993, Islamic Relief operates a wide variety of projects, including education and training, water and sanitation, income generation, orphan support, health and nutrition, and emergency relief. Islamic Relief also sponsors many domestic projects, including homeless feedings, financial assistance, healthcare in underserved areas, the annual Day of Dignity program, providing food, medical care, hygiene kits, clothes, blankets, and more to homeless and underserved communities across the United States. Islamic Relief's largest domestic project was the response to Hurricane Katrina.",95-4453134,150398532.0,0.028999999999999998,0.08,0.078,0.892,87.5,Anwar Ahmad Khan,178877.0,0.0011,Working together for a better world.,Islamic Relief USA,143988489.0,91.16,VA,Development and Relief Services,big,134155490.544,11731085.496,4361557.427999999
