ascore,category,description,ein,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,fscore,leader,leader_comp,leader_comp_p,motto,name,tot_rev,score,state,subcategory,size,program_exp,fund_exp,admin_exp
59.0,Religion,"The House FM serves Christ through the ministry of Christian radio for the glory of God. We also evangelize our area and unify the body of Christ without compromise through music and ministry. Our purpose is to provide listeners with an alternative to secular music, keeping hearts and minds focused on the Lord.",73-1357030,1507573.0,0.26,0.03,0.046,0.693,88.01,Doyle Brewer,102980.0,0.0683,Christian radio for the glory of God,The House FM,1777498.0,69.79,OK,Religious Media and Broadcasting,small,1044748.0889999999,69348.358,391968.98000000004
100.0,Human Services,"Established in 1992, Hour Children is a non-sectarian organization that assists incarcerated women and continues to provide the crucial post-release services that prevent recidivism after their release. Hour Children begins working with women while they are still in prison, bringing their children to visit and offering the mothers advocacy, parenting and domestic violence, support groups and counseling to ease their transition to reunification with their children. Today, Hour Children is a community of eight residences, housing 75 families, with children from infancy to 21 years. More than 700 housing alumnae who have successfully transitioned to independent living return for special events and attend monthly support groups. Through our work both in the prison and in the community, Hour Children has assisted over 7,000 families with reunification and re-entry services.",13-3647412,4428790.0,0.045,0.07,0.07,0.884,97.16,Sister Teresa Fitzgerald,98760.0,0.0222,Love Makes the Difference!,Hour Children,4640641.0,97.99,NY,Children's and Family Services,mid,3915050.36,310015.30000000005,199295.55
59.0,Human Services,"Hospice Education Institute is an independent organization, founded in 1985, which serves a wide range of individuals and organizations interested in improving and expanding hospice and palliative care throughout the United States and around the world. The Institute works to inform, educate, and support people seeking or providing care for the dying and the bereaved, or themselves coping with far advanced illness, or with loss. The Institute offers a number of programs and services, including HOSPICELINK; the Small Gift Program; Cooperative Education Grants; Inpatient Hospice Design Project; seminars; advice and assistance; as well as books and pamphlets.",22-2701794,3352285.0,0.032,0.52,0.312,0.655,69.42,Michal J.M. Galazka,6212.0,0.0018,Providing information and education about the many facets of caring for the dying and the bereaved,Hospice Education Institute,448619.0,63.83,ME,Social Services,small,2195746.6750000003,1045912.92,107273.12
100.0,Religion,Faith Comes By Hearing's mission is to get God's Word to everyone everywhere in their heart languages. We are accomplishing this ambitious goal by recording God's Word in the languages of the world and freely distributing these recordings by way of Audio Bible listening programs and personal engagement through various other technological means.,85-0223225,17163576.0,0.061,0.05,0.06,0.877,94.2,Gerald Jackson,88774.0,0.0051,God's Word For Every Person,Hosanna/Faith Comes By Hearing,21201925.0,95.89,NM,Religious Media and Broadcasting,big,15052456.152,1029814.5599999999,1046978.1359999999
93.0,Community Development,"Hosanna Industries' mission is to provide home construction, repair and rehabilitation for low-income persons living in deteriorating housing, vocational training for unskilled workers particularly in construction trades, assistance in the development and start-up of small businesses by persons who lack the economic ability and expertise to do so without assistance, creation of job opportunities for unemployed persons, and mobilization of relief workers to areas of disaster and poverty. Since 1990, we have built nearly 200 new homes, repaired more than 3500 homes, travelled more than 3 million miles, trained 161 mission workers, led approximately150,000 volunteers and have provided more than $50 million worth of market value work.",25-1626784,1495670.0,0.11900000000000001,0.06,0.064,0.816,99.02,Donn Ed,72000.0,0.0481,God's work is everyone's business,Hosanna Industries,1371647.0,95.0,PA,Housing and Neighborhood Development,small,1220466.72,95722.88,177984.73
85.0,Environment,"Founded in 1900, incorporated in 1902, The Horticultural Society of New York (HSNY) enhances New York City's environmental and cultural life by providing unique educational, vocational and therapeutic outreach programs, library resources and exhibitions. HSNY has evolved into a multidisciplinary cultural and social service resource for the people of New York. HSNY is at the forefront of New York City's and the nation's growing focus on environmental concerns, green technology and urban agriculture; our interconnected programs promote the art and science of horticulture, and its vital role in contemporary life, to diverse communities across the five boroughs.",13-0854930,2923366.0,0.07200000000000001,0.04,0.042,0.884,95.0,Sara Hobel,254901.0,0.08710000000000001,Cultivating Urban Gardeners since 1902,The Horticultural Society of New York,4059034.0,88.81,NY,"Botanical Gardens, Parks, and Nature Centers",small,2584255.544,122781.372,210482.352
93.0,Education,"Horizons National is a network of high-quality academic enrichment programs that provide long-term deep engagement to low-income public school students. The hands-on approach is designed to fuel a life-long passion for learning, using a blend of high-quality academics with arts, sports, cultural enrichment, and confidence-building challenges, particularly swimming.",06-1468129,4275552.0,0.1,0.09,0.106,0.7929999999999999,90.75,Lorna Smith,219500.0,0.0513,"Inspiring minds, building community, transforming lives",Horizons National,4020176.0,91.79,CT,Youth Education Programs and Services,mid,3390512.7359999996,453208.512,427555.2
96.0,Education,"Horizons for Youth is the only scholarship organization offering comprehensive support services such as tutoring and mentoring to students as early as kindergarten and continuing through high school graduation. With a 99% high school graduation rate and 80% college attendance rate, our program is a proven model for academic achievement and personal growth. We provide children from low-resource areas the opportunity for a quality education and the support services to take full advantage of it. Our participants are Chicago residents with limited income and who have at least one child in grades K-3. We select families after a thorough interview process that confirms a strong foundation at home and a commitment to making the most of education.",36-3796784,2876824.0,0.054000000000000006,0.23,0.212,0.732,79.12,Audrey George,165000.0,0.057300000000000004,Scholarship. Mentoring. Community.,Horizons for Youth,2336101.0,84.96,IL,Scholarship and Financial Support,small,2105835.168,609886.688,155348.496
100.0,Human Services,"Horizons for Homeless Children was founded in 1988 as an independent organization dedicated exclusively to serving young homeless children and their families. Horizons for Homeless Children touches the lives of more than 2,000 young homeless children each week in Massachusetts through Playspaces (trauma-informed educational and recreational spaces) in shelters and 175 children each day and over 300 a year through its three early education centers, Boston's only comprehensive, trauma-informed full-time early education and care centers specifically for homeless children. In addition to direct service, we advocate on behalf of young homeless children and their families with policy makers and provide training and technical assistance to related educators and service providers.",22-2915188,9619653.0,0.128,0.19,0.14800000000000002,0.723,79.51,Katherine Barrand,243641.0,0.0253,"Every homeless child will have the opportunity to learn, play, and thrive.",Horizons for Homeless Children,7925882.0,85.51,MA,Children's and Family Services,mid,6955009.119,1423708.644,1231315.584
96.0,Health,"Horizon Community Solutions (formerly the Cancer Coalition of South Georgia) is still fighting cancer, but now doing even more. Horizons is strengthening communities and empowering people to lead healthy and productive lives. We work with residents to find underlying causes of poor health, create an action plan and carry out the plan. We may help a community improve education, workforce training, housing or healthcare access or we may help them reduce obesity, teenage pregnancy and STDs, or other issues.",82-0567901,967947.0,0.149,0.05,0.048,0.8009999999999999,88.6,Diane Fletcher,0.0,0.0,Coming Together. Changing Lives.,Horizons Community Solutions,772759.0,91.45,GA,"Diseases, Disorders, and Disciplines",small,775325.5469999999,46461.456,144224.103
